Global Company Name, Country, Sales, Profit, Assets, Market Value
Toyota Motor,Japan,2.8175e+011,2.815e+010,$552.46 B,$237.73 B
Softbank,Japan,9.686e+010,2.087e+010,$418.94 B,$71.69 B
Nippon Telegraph & Tel,Japan,1.1039e+011,1.015e+010,$204.46 B,$103.98 B
Sony,Japan,8.99e+010,7.99e+009,$260.48 B,$108.84 B
Mitsubishi UFJ Financial,Japan,4.828e+010,1.129e+010,"$3,176.37 B"
Honda Motor,Japan,1.3016e+011,7.24e+009,$193.22 B,$44.99 B
Mitsubishi,Japan,1.4694e+011,5.9e+009,$178.13 B,$50.87 B
Sumitomo Mitsui Financial,Japan,3.55e+010,6.4e+009,"$2,176.62 B"
Mitsui,Japan,1.0831e+011,7.01e+009,$119.73 B,$40.83 B
Itochu,Japan,1.0799e+011,6.52e+009,$102.18 B,$45.95 B
Hitachi,Japan,9.19e+010,5.87e+009,$116.57 B,$45.78 B
KDDI,Japan,4.917e+010,5.98e+009,$94.14 B,$74.12 B
Japan Post Holdings,Japan,1.0358e+011,3.93e+009,"$2,614.33 B"
Tokio Marine Holdings,Japan,5.057e+010,3.85e+009,$234.91 B,$35.19 B
Mizuho Financial,Japan,2.676e+010,5.42e+009,"$1,957.58 B"
Takeda Pharmaceutical,Japan,3.155e+010,3.99e+009,$110.27 B,$45.32 B
Dai-ichi Life Insurance,Japan,6.673e+010,4.47e+009,$571.45 B,$19.9 B
Seven & I Holdings,Japan,7.847e+010,1.89e+009,$75.88 B,$39.19 B
Denso,Japan,4.949e+010,2.51e+009,$61.51 B,$45.14 B
Marubeni,Japan,7.232e+010,3.51e+009,$63.99 B,$19.7 B
Sumitomo,Japan,4.822e+010,2.69e+009,$77.8 B,$20.28 B
Nippon Steel,Japan,5.754e+010,5.45e+009,$74.59 B,$14.92 B
Panasonic,Japan,6.597e+010,2.1e+009,$64.06 B,$20.98 B
MS&AD Insurance,Japan,4.189e+010,1.81e+009,$216.84 B,$16.51 B
